query,doc_pos
"<user> is there a cheap place in the north part of town ? <sys> there are two restaurants that meet your specification . one is italian and the other is indian . which would you prefer ? <user> italian , please . can you give me the address ?",<database> address 20 milton road chesterton <sep_attributes> area north <sep_attributes> food italian <sep_attributes> name da vinci pizzeria <sep_attributes> phone 01223 351707 <sep_attributes> postcode cb41jy <sep_attributes> pricerange cheap <sep_attributes>
"<user> is there a cheap place in the north part of town ? <sys> there are two restaurants that meet your specification . one is italian and the other is indian . which would you prefer ? <user> italian , please . can you give me the address ? <sys> api call italian north cheap <user> silence",<database> address 20 milton road chesterton <sep_attributes> area north <sep_attributes> food italian <sep_attributes> name da vinci pizzeria <sep_attributes> phone 01223 351707 <sep_attributes> postcode cb41jy <sep_attributes> pricerange cheap <sep_attributes>
"<user> is there a cheap place in the north part of town ? <sys> there are two restaurants that meet your specification . one is italian and the other is indian . which would you prefer ? <user> italian , please . can you give me the address ? <sys> api call italian north cheap <user> silence <sys> da vinci pizzeria is in the north part of town their address is 20 milton road chesterton . <user> what is the phone number please ?",<database> address 20 milton road chesterton <sep_attributes> area north <sep_attributes> food italian <sep_attributes> name da vinci pizzeria <sep_attributes> phone 01223 351707 <sep_attributes> postcode cb41jy <sep_attributes> pricerange cheap <sep_attributes>
"<user> is there a cheap place in the north part of town ? <sys> there are two restaurants that meet your specification . one is italian and the other is indian . which would you prefer ? <user> italian , please . can you give me the address ? <sys> api call italian north cheap <user> silence <sys> da vinci pizzeria is in the north part of town their address is 20 milton road chesterton . <user> what is the phone number please ? <sys> da vinci pizzeria 's phone number is 01223351707. can i help you with anything else ? <user> no that will be it . thank you",<database> address 20 milton road chesterton <sep_attributes> area north <sep_attributes> food italian <sep_attributes> name da vinci pizzeria <sep_attributes> phone 01223 351707 <sep_attributes> postcode cb41jy <sep_attributes> pricerange cheap <sep_attributes>
<user> i want a moderately priced restaurant in the east part of town . what is the phone number ?,<database> address 7 barnwell road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name rajmahal <sep_attributes> phone 01223 244955 <sep_attributes> postcode cb58rg <sep_attributes> pricerange moderate <sep_attributes>
<user> i want a moderately priced restaurant in the east part of town . what is the phone number ? <sys> api call dontcare east moderate <user> silence,<database> address 7 barnwell road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name rajmahal <sep_attributes> phone 01223 244955 <sep_attributes> postcode cb58rg <sep_attributes> pricerange moderate <sep_attributes>
<user> i want a moderately priced restaurant in the east part of town . what is the phone number ? <sys> api call dontcare east moderate <user> silence <sys> would you prefer indian food or italian food ? <user> i do n't care . give me their phone number .,<database> address 451 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name curry prince <sep_attributes> phone 01223 566388 <sep_attributes> postcode cb58jj <sep_attributes> pricerange moderate <sep_attributes>
<user> i want a moderately priced restaurant in the east part of town . what is the phone number ? <sys> api call dontcare east moderate <user> silence <sys> would you prefer indian food or italian food ? <user> i do n't care . give me their phone number . <sys> curry prince is a moderately priced restaurant in the east part of town that serves indian food . would you like the phone number ? <user> yes give me the phone number .,<database> address 451 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name curry prince <sep_attributes> phone 01223 566388 <sep_attributes> postcode cb58jj <sep_attributes> pricerange moderate <sep_attributes>
"<user> i want a moderately priced restaurant in the east part of town . what is the phone number ? <sys> api call dontcare east moderate <user> silence <sys> would you prefer indian food or italian food ? <user> i do n't care . give me their phone number . <sys> curry prince is a moderately priced restaurant in the east part of town that serves indian food . would you like the phone number ? <user> yes give me the phone number . <sys> the phone number for curry prince is 01223 566388 . <user> awesome , thank you ! goodbye !",<database> address 451 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name curry prince <sep_attributes> phone 01223 566388 <sep_attributes> postcode cb58jj <sep_attributes> pricerange moderate <sep_attributes>
<user> i 'd like a place that serves world food in the east part of town .,<database> address finders corner newmarket road <sep_attributes> area east <sep_attributes> food international <sep_attributes> name the missing sock <sep_attributes> phone 01223 812660 <sep_attributes> postcode cb259aq <sep_attributes> pricerange cheap <sep_attributes>
<user> i 'd like a place that serves world food in the east part of town . <sys> sorry but no world food restaurants in the east is found . can i provide you something else . <user> how about indian food ?,<database> address newmarket road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name pipasha restaurant <sep_attributes> phone 01223 577786 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
<user> i 'd like a place that serves world food in the east part of town . <sys> sorry but no world food restaurants in the east is found . can i provide you something else . <user> how about indian food ? <sys> api call indian east dontcare <user> silence,<database> address newmarket road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name pipasha restaurant <sep_attributes> phone 01223 577786 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
"<user> i 'd like a place that serves world food in the east part of town . <sys> sorry but no world food restaurants in the east is found . can i provide you something else . <user> how about indian food ? <sys> api call indian east dontcare <user> silence <sys> your options are curry prince , pipasha restaurant , rajmahal , and sitar tandoori . which one would you like more information regarding ? <user> i would like the address and phone number of curry prince .",<database> address 451 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name curry prince <sep_attributes> phone 01223 566388 <sep_attributes> postcode cb58jj <sep_attributes> pricerange moderate <sep_attributes>
"<user> i 'd like a place that serves world food in the east part of town . <sys> sorry but no world food restaurants in the east is found . can i provide you something else . <user> how about indian food ? <sys> api call indian east dontcare <user> silence <sys> your options are curry prince , pipasha restaurant , rajmahal , and sitar tandoori . which one would you like more information regarding ? <user> i would like the address and phone number of curry prince . <sys> the curry prince is located at 451 newmarket road fen ditton and their phone number is 01223 566388 . can i help you with anything else today ? <user> no , thank you goobye .",<database> address 451 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name curry prince <sep_attributes> phone 01223 566388 <sep_attributes> postcode cb58jj <sep_attributes> pricerange moderate <sep_attributes>
<user> i need a restaurant,<database> address 205 victoria road chesterton <sep_attributes> area west <sep_attributes> food indian <sep_attributes> name meghna <sep_attributes> phone 01223 727410 <sep_attributes> postcode cb43lf <sep_attributes> pricerange moderate <sep_attributes>
<user> i need a restaurant <sys> in what part of town ? <user> east and expensive,<database> address 290 mill road city centre <sep_attributes> area east <sep_attributes> food gastropub <sep_attributes> name royal standard <sep_attributes> phone 01223 247877 <sep_attributes> postcode cb13nl <sep_attributes> pricerange expensive <sep_attributes>
"<user> i need a restaurant <sys> in what part of town ? <user> east and expensive <sys> there are several restaurant matches in this area . would you like british , indian , gastropub , or chinese ? <user> address and phone number for the chinese restaurant",<database> address 529 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food chinese <sep_attributes> name yu garden <sep_attributes> phone 01223 248882 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
"<user> i need a restaurant <sys> in what part of town ? <user> east and expensive <sys> there are several restaurant matches in this area . would you like british , indian , gastropub , or chinese ? <user> address and phone number for the chinese restaurant <sys> api call chinese east expensive <user> silence",<database> address 529 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food chinese <sep_attributes> name yu garden <sep_attributes> phone 01223 248882 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
"<user> i need a restaurant <sys> in what part of town ? <user> east and expensive <sys> there are several restaurant matches in this area . would you like british , indian , gastropub , or chinese ? <user> address and phone number for the chinese restaurant <sys> api call chinese east expensive <user> silence <sys> here you go , 01223 248882 , 529 newmarket road fen ditton . anything else today ? <user> no , this is it . thank you",<database> address 529 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food chinese <sep_attributes> name yu garden <sep_attributes> phone 01223 248882 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
"<user> i need a restaurant <sys> in what part of town ? <user> east and expensive <sys> there are several restaurant matches in this area . would you like british , indian , gastropub , or chinese ? <user> address and phone number for the chinese restaurant <sys> api call chinese east expensive <user> silence <sys> here you go , 01223 248882 , 529 newmarket road fen ditton . anything else today ? <user> no , this is it . thank you <sys> wait . how about that british restaurant ? where is it located ? <user> is there a welsh restaurant in the north part of town ?",<database> address 529 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food chinese <sep_attributes> name yu garden <sep_attributes> phone 01223 248882 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
"<user> i need a restaurant <sys> in what part of town ? <user> east and expensive <sys> there are several restaurant matches in this area . would you like british , indian , gastropub , or chinese ? <user> address and phone number for the chinese restaurant <sys> api call chinese east expensive <user> silence <sys> here you go , 01223 248882 , 529 newmarket road fen ditton . anything else today ? <user> no , this is it . thank you <sys> wait . how about that british restaurant ? where is it located ? <user> is there a welsh restaurant in the north part of town ? <sys> i am sorry no welsh restaurants in the north part of town . <user> thank you , good bye .",<database> address 529 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food chinese <sep_attributes> name yu garden <sep_attributes> phone 01223 248882 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
<user> i would like to find a moderately priced restaurant in the west part of town .,<database> address 205 victoria road chesterton <sep_attributes> area west <sep_attributes> food indian <sep_attributes> name meghna <sep_attributes> phone 01223 727410 <sep_attributes> postcode cb43lf <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like to find a moderately priced restaurant in the west part of town . <sys> api call dontcare west moderate <user> silence,<database> address 205 victoria road chesterton <sep_attributes> area west <sep_attributes> food indian <sep_attributes> name meghna <sep_attributes> phone 01223 727410 <sep_attributes> postcode cb43lf <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like to find a moderately priced restaurant in the west part of town . <sys> api call dontcare west moderate <user> silence <sys> meghna is an indian restaurant that meets your criteria . would you like their location ? <user> west part of town .,<database> address 205 victoria road chesterton <sep_attributes> area west <sep_attributes> food indian <sep_attributes> name meghna <sep_attributes> phone 01223 727410 <sep_attributes> postcode cb43lf <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like to find a moderately priced restaurant in the west part of town . <sys> api call dontcare west moderate <user> silence <sys> meghna is an indian restaurant that meets your criteria . would you like their location ? <user> west part of town . <sys> meghna is located in the west part of town . <user> can you please let me know the address ?,<database> address 205 victoria road chesterton <sep_attributes> area west <sep_attributes> food indian <sep_attributes> name meghna <sep_attributes> phone 01223 727410 <sep_attributes> postcode cb43lf <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like to find a moderately priced restaurant in the west part of town . <sys> api call dontcare west moderate <user> silence <sys> meghna is an indian restaurant that meets your criteria . would you like their location ? <user> west part of town . <sys> meghna is located in the west part of town . <user> can you please let me know the address ? <sys> the address is 205 victoria road chesterton . <user> are there any other moderately price restaurants in the west part of town ? can i get the address for another one ?,<database> address 205 victoria road chesterton <sep_attributes> area west <sep_attributes> food indian <sep_attributes> name meghna <sep_attributes> phone 01223 727410 <sep_attributes> postcode cb43lf <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like to find a moderately priced restaurant in the west part of town . <sys> api call dontcare west moderate <user> silence <sys> meghna is an indian restaurant that meets your criteria . would you like their location ? <user> west part of town . <sys> meghna is located in the west part of town . <user> can you please let me know the address ? <sys> the address is 205 victoria road chesterton . <user> are there any other moderately price restaurants in the west part of town ? can i get the address for another one ? <sys> prezzo is a moderately priced italian restaurant in the west part of town . it is located at 21-24 northampton road . <user> thank you goodbye .,<database> address 205 victoria road chesterton <sep_attributes> area west <sep_attributes> food indian <sep_attributes> name meghna <sep_attributes> phone 01223 727410 <sep_attributes> postcode cb43lf <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like a moderately priced steakhouse restaurant .,<database> address 7 milton road chesterton <sep_attributes> area north <sep_attributes> food indian <sep_attributes> name the nirala <sep_attributes> phone 01223 360966 <sep_attributes> postcode cb41uy <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like a moderately priced steakhouse restaurant . <sys> there are no moderately priced steakhouse restaurants . would you like to change your query ? <user> how about moderately priced british food ?,<database> address 4 kings parade city centre <sep_attributes> area centre <sep_attributes> food british <sep_attributes> name the copper kettle <sep_attributes> phone 01223 365068 <sep_attributes> postcode cb21sj <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like a moderately priced steakhouse restaurant . <sys> there are no moderately priced steakhouse restaurants . would you like to change your query ? <user> how about moderately priced british food ? <sys> there are four options in centre and one option in west . do you have a preference on the area ? <user> can you give me the phone numbers please,<database> address 4 kings parade city centre <sep_attributes> area centre <sep_attributes> food british <sep_attributes> name the copper kettle <sep_attributes> phone 01223 365068 <sep_attributes> postcode cb21sj <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like a moderately priced steakhouse restaurant . <sys> there are no moderately priced steakhouse restaurants . would you like to change your query ? <user> how about moderately priced british food ? <sys> there are four options in centre and one option in west . do you have a preference on the area ? <user> can you give me the phone numbers please <sys> api call british dontcare moderate <user> silence,<database> address de vere university arms regent street city centre <sep_attributes> area centre <sep_attributes> food british <sep_attributes> name restaurant one seven <sep_attributes> phone 01223 337766 <sep_attributes> postcode cb21ab <sep_attributes> pricerange moderate <sep_attributes>
"<user> i would like a moderately priced steakhouse restaurant . <sys> there are no moderately priced steakhouse restaurants . would you like to change your query ? <user> how about moderately priced british food ? <sys> there are four options in centre and one option in west . do you have a preference on the area ? <user> can you give me the phone numbers please <sys> api call british dontcare moderate <user> silence <sys> do you want the phone numbers to restaurant one seven ? <user> okay , so may i have the number please ?",<database> address de vere university arms regent street city centre <sep_attributes> area centre <sep_attributes> food british <sep_attributes> name restaurant one seven <sep_attributes> phone 01223 337766 <sep_attributes> postcode cb21ab <sep_attributes> pricerange moderate <sep_attributes>
"<user> i would like a moderately priced steakhouse restaurant . <sys> there are no moderately priced steakhouse restaurants . would you like to change your query ? <user> how about moderately priced british food ? <sys> there are four options in centre and one option in west . do you have a preference on the area ? <user> can you give me the phone numbers please <sys> api call british dontcare moderate <user> silence <sys> do you want the phone numbers to restaurant one seven ? <user> okay , so may i have the number please ? <sys> restaurant one seven 's phone number is 01223 337766 . <user> thank you , goodbye",<database> address de vere university arms regent street city centre <sep_attributes> area centre <sep_attributes> food british <sep_attributes> name restaurant one seven <sep_attributes> phone 01223 337766 <sep_attributes> postcode cb21ab <sep_attributes> pricerange moderate <sep_attributes>
<user> i 'd like to find an east side restaurant that is expensive .,<database> address 43 high street cherry hinton cherry hinton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name sitar tandoori <sep_attributes> phone 01223 249955 <sep_attributes> postcode cb19hx <sep_attributes> pricerange expensive <sep_attributes>
<user> i 'd like to find an east side restaurant that is expensive . <sys> there are five restaurants matching your request . what kind of food would you like ? <user> chinese food sound good .,<database> address 529 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food chinese <sep_attributes> name yu garden <sep_attributes> phone 01223 248882 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
<user> i 'd like to find an east side restaurant that is expensive . <sys> there are five restaurants matching your request . what kind of food would you like ? <user> chinese food sound good . <sys> api call chinese east expensive <user> silence,<database> address 529 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food chinese <sep_attributes> name yu garden <sep_attributes> phone 01223 248882 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
"<user> i 'd like to find an east side restaurant that is expensive . <sys> there are five restaurants matching your request . what kind of food would you like ? <user> chinese food sound good . <sys> api call chinese east expensive <user> silence <sys> yu garden serves chinese food , is in the east part of town and is in the expensive price range . would you like their location ? <user> what is their address and postcode ?",<database> address 529 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food chinese <sep_attributes> name yu garden <sep_attributes> phone 01223 248882 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
"<user> i 'd like to find an east side restaurant that is expensive . <sys> there are five restaurants matching your request . what kind of food would you like ? <user> chinese food sound good . <sys> api call chinese east expensive <user> silence <sys> yu garden serves chinese food , is in the east part of town and is in the expensive price range . would you like their location ? <user> what is their address and postcode ? <sys> yu garden chinese east expensive 01223 248882 529 newmarket road fen ditton cb58pa <user> thank you goodbye .",<database> address 529 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food chinese <sep_attributes> name yu garden <sep_attributes> phone 01223 248882 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
<user> i need to find a moderately priced restaurant in the east part of town .,<database> address 7 barnwell road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name rajmahal <sep_attributes> phone 01223 244955 <sep_attributes> postcode cb58rg <sep_attributes> pricerange moderate <sep_attributes>
<user> i need to find a moderately priced restaurant in the east part of town . <sys> api call dontcare east moderate <user> silence,<database> address 451 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name curry prince <sep_attributes> phone 01223 566388 <sep_attributes> postcode cb58jj <sep_attributes> pricerange moderate <sep_attributes>
"<user> i need to find a moderately priced restaurant in the east part of town . <sys> api call dontcare east moderate <user> silence <sys> the curry prince is in the moderate price range , and it is on the east part of town . <user> can you send me the address and the phone number of this restaurant ?",<database> address 451 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name curry prince <sep_attributes> phone 01223 566388 <sep_attributes> postcode cb58jj <sep_attributes> pricerange moderate <sep_attributes>
"<user> i need to find a moderately priced restaurant in the east part of town . <sys> api call dontcare east moderate <user> silence <sys> the curry prince is in the moderate price range , and it is on the east part of town . <user> can you send me the address and the phone number of this restaurant ? <sys> yes , the curry prince is located at 451 newmarket road fen ditton and their phone number is 01223 566388 . can i help you with anything else ? <user> no , that will do it , thank you very much .",<database> address 451 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food indian <sep_attributes> name curry prince <sep_attributes> phone 01223 566388 <sep_attributes> postcode cb58jj <sep_attributes> pricerange moderate <sep_attributes>
<user> i need the address and phone number of a restaurant in the south part of town .,<database> address 10 homerton street city centre <sep_attributes> area south <sep_attributes> food chinese <sep_attributes> name peking restaurant <sep_attributes> phone 01223 354755 <sep_attributes> postcode cb28nx <sep_attributes> pricerange expensive <sep_attributes>
<user> i need the address and phone number of a restaurant in the south part of town . <sys> api call dontcare south dontcare <user> silence,<database> address 10 homerton street city centre <sep_attributes> area south <sep_attributes> food chinese <sep_attributes> name peking restaurant <sep_attributes> phone 01223 354755 <sep_attributes> postcode cb28nx <sep_attributes> pricerange expensive <sep_attributes>
<user> i need the address and phone number of a restaurant in the south part of town . <sys> api call dontcare south dontcare <user> silence <sys> there are nine restaurants in the south part of town . what kind of food would you like ? <user> i do n't care .,<database> address 2g cambridge leisure park cherry hinton road cherry hinton <sep_attributes> area south <sep_attributes> food mexican <sep_attributes> name chiquito restaurant bar <sep_attributes> phone 01223 400170 <sep_attributes> postcode cb17dy <sep_attributes> pricerange expensive <sep_attributes>
